83,83,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,。o O (意外とこの体便利ね…)■■■■■■■■■■■■■■■■■■■■■1. 22:30～1:30 多少前後するわ■■■■■■■2. 00:15/00:45 ■■■■■■■■■■■■■■3. ゲームを楽しく/暴言・突然死■■■■■■■4. 見た目はぬりかべ、脳内は猫娘■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■,,,,,,,,,,,,,,,,,,,,,
84,84,プロローグ,木こりトーマス,,,,,,,,,,村人,青>>80　oO(猫娘にこんなに種類があるとは驚きなんだな！)宿>>81　みんなラインでつながって一つになれば怖くない！ってことなのだ？物理ｗｗｗ兵>>82　ふむ。シモンの▼神希望は私的事情(主にディタ関連)が混ざってるように見えるんだな。まぁ、ブレはなさげだし今後の姿勢から色は見えやすそうなんだな。,,,,,,,,,,,,,,,,,,,,,
85,85,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>82シモン、そこまでディーターを愛してるんだね……【対抗しないよ】（マテ後猫又は思考が人間に寄るからなぁ、どうだろう？>>81せっかくだからペーターの後ろに付こうかな。ってやっぱりレジーナは塗り壁…！,,,,,,,,,,,,,,,,,,,,,
86,86,プロローグ,ならず者ディーター,,,,,,,,,,村人,戻ったぜーおっと、ライン戦か？よーし、みんな一列に並べーはみ出したやつが狼なーなんだか俺にラインが集中してる気がすんだけど…>>82シモンの愛が眩しいぜ,,,,,,,,,,,,,,,,,,,,,
87,87,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>86 ディーターの前は俺の定位置だから譲れない>>84 >>85 >>86べ、別に愛とかそんなんじゃないんだからな！！ディーターはこの村の数少ない人間だし、優しいし、最初に女に興味ないって宣言してるし………間違えた。最後の無しでと、とにかく愛とか勘違いするなよ！！oO(あれ…？このお料理大百科…なんかグロい…),,,,,,,,,,,,,,,,,,,,,
88,88,プロローグ,行商人アルビン,,,,,,,,,,村人,やあみなさん。盛り上がってますね。,,,,,,,,,,,,,,,,,,,,,
89,89,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,誰のバディーが盛り上がってるですって！？>>87じゃぁシモンの前はアタシの定位置だから譲れないわね。,,,,,,,,,,,,,,,,,,,,,
90,90,プロローグ,行商人アルビン,,,,,,,,,,村人,>>89 その卑屈さがたまりません。あ、何か質問が回ってきてますね。1.不定期ですね。お客さん次第です。2.いつでも大丈夫です。3.和気あいあいと行きましょう。4.次の街に行くまでの3日間お世話になります。よろしくお願いします。,,,,,,,,,,,,,,,,,,,,,
91,91,プロローグ,木こりトーマス,,,,,,,,,,村人,アルいらっしゃいなんだな！アルも一緒に盛り上がろうなんだな。宿>>89　ぬりかべのバディーはむしろ平坦な気g……げふんげふん。,,,,,,,,,,,,,,,,,,,,,
92,92,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,おや、アルビンいらっしゃい。次の街に行っちゃうのかぁ。でも今道が閉鎖されてて復旧には下手すると１週間位かかるかもって言ってたよ。>>91トーマス、危険だ！それはトーマスが平坦になるフラグ…！,,,,,,,,,,,,,,,,,,,,,
93,93,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>92トーマスが平坦…！つまりそこからレジーナはトーマスにもう一回壁塗りをするつもりってことか（笑）［…は潰されないように壁から少し離れた］,,,,,,,,,,,,,,,,,,,,,
94,94,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,どうやらアタシのバディーを物理的に堪能したいやつがいるみたいだね。青の後ろに並びな！村から出ようったってアタシが出さないよ…出さないにゃん！,,,,,,,,,,,,,,,,,,,,,
95,95,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>94ええ！？レジーナ、落ち着いて！それ塗り壁の役割そのままだよ！……いいのか。いいのかな？（ぉぃ,,,,,,,,,,,,,,,,,,,,,
96,96,プロローグ,ならず者ディーター,,,,,,,,,,村人,アルビンようこそ、まぁ三日と言わずゆっくりしてけよ。ヨア曰く、道は通れないらしいぜ？レジーナが暴走してるな…シモン、危ないからこっち来てろな。物理的にぺちゃんこになっちまうぞ,,,,,,,,,,,,,,,,,,,,,
97,97,プロローグ,木こりトーマス,,,,,,,,,,村人,商>>90　えっと、アルは三日間しかこの村にいられないのだ？ヨアも言ってるけど、一週間この村に留まる必要があるかもしれないんだけど、そんなには滞在できそうにないのだ？……なんか、レジが荒ぶってるみたいだけど、どうしてなのだ？(首こてりとりあえず、逃げるが勝ちなの把握なんだな！(脱兎のごとくダッシュ,,,,,,,,,,,,,,,,,,,,,
98,98,プロローグ,負傷兵シモン,,,,,,,,,,村人,ん。側にいる。もしかするとこれでぺちゃんこになりかけたトーマスは一反木綿としての正体を現すのか？あ、アルビン遅くなったけどようこそこの魑魅魍魎が跋扈する村へ,,,,,,,,,,,,,,,,,,,,,
99,99,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>90あれ？もしかしてアルビンの「３日間」って元ネタあり？自分ルールで一つの国に滞在するのは必ず３日、伸ばしたり短くしたりは禁止ってやつ？,,,,,,,,,,,,,,,,,,,,,
100,100,プロローグ,旅人ニコラス,,,,,,,,,,村人,零時をお知らせシマス。,,,,,,,,,,,,,,,,,,,,,
101,101,プロローグ,旅人ニコラス,,,,,,,,,,村人,ジブンが居ると思ったらアルビンさんデシタ。狐か狸に化かされたのかと思ったのデス。■1.不定期デス。■2.仮00:15／本00:45 ■3.楽しい村になりそうデスネ。■4.妖怪がたくさん居る村デスネ。ジブンもここなら落ち着けそうデス。,,,,,,,,,,,,,,,,,,,,,
102,102,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,ニコラスいらっしゃーい。…時報？（ぉぃ,,,,,,,,,,,,,,,,,,,,,
103,103,プロローグ,神父ジムゾン,,,,,,,,,,人狼,レジーナの姉御が物理的に荒ぶっているのを確認したわ。そして皆ラインがベタベタすぎて、逆にラインがない人が怪しいわねえ…。兵>>82　もしアタシが人狼でも何もしない優しい狼ちゃんだから、吊るのはやめてほしいわ。仲良くしましょうよ、ええ。アルちゃん、ニコちゃんはこんばんは。ゆっくりしていってほしいわね。ニコちゃんは00:00に>>100なのね、素敵だわ。でもディタちゃんが一番ね…ふふ。,,,,,,,,,,,,,,,,,,,,,
104,104,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,ニコラスわかるわー、まぎらわしいキャラっているのよねー。アナタも何かの妖怪かしら？アタシなんかしょっちゅう「娘がつくからパメラだ！」だの「こんな可愛い子がカタリナなわけがない」だの「平坦だからリーザだ！」だの言われて大変なのよ。,,,,,,,,,,,,,,,,,,,,,
105,105,プロローグ,神父ジムゾン,,,,,,,,,,人狼,宿>>104に物凄く突っ込みたいわね…。でも物理的に圧殺されそうなのでやめておくわ。,,,,,,,,,,,,,,,,,,,,,
106,106,プロローグ,旅人ニコラス,,,,,,,,,,村人,青>>102　時報という妖怪は聞いたことがないのデス神>>103　>>100は頂いたのデス宿>>104　そうデスネ(棒)ジブンは人魚なのデス。人魚の肉を食べれば不老不死になるとかいう噂のせいで、流浪の身なのデス。,,,,,,,,,,,,,,,,,,,,,
107,107,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>106世の中には一応存在するんだ……「時報妖怪ドワンゴ」って妖怪が…（ぉぃ人魚かー。こんな陸地まで大変だったろうに。水いる？,,,,,,,,,,,,,,,,,,,,,
108,108,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,▲旅あと2人でフルメンにゃん。ずさーこないかなー、村の入口はあと50分で封鎖するわ、今なら間に合うわよー、おいでませー,,,,,,,,,,,,,,,,,,,,,
109,109,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,ずさー,,,,,,,,,,,,,,,,,,,,,
110,110,プロローグ,旅人ニコラス,,,,,,,,,,村人,青>>107　その妖怪には会ったことがあったのデス。妖怪だと思っていなかったのデス。水ありがとうなのデス。袋には水しか入ってないのですが、いくらあっても足りないのデス。ジムゾンは河童だと聞いたのデス。ジムゾンもきっと水が必要なのデス。だから、分けてあげるのデス。,,,,,,,,,,,,,,,,,,,,,
111,111,プロローグ,老人モーリッツ,,,,,,,,,,人狼,こ・こ・こ・こんな老いぼれで良かったんかのぉぉぉ？ほ・ほ・本当にいいんかのぉぉ？プルプルプルプルプル　カクカクカクカクカク,,,,,,,,,,,,,,,,,,,,,
112,112,プロローグ,ならず者ディーター,,,,,,,,,,村人,心優しい人魚ニコラスがいると聞いて（がたっむ…？見たところ上半身人間のようだから下半身魚の人魚さんか…いや、半魚人的なあれだったらどうしようかと思ったんだが、その心配はなさそーだな。ま、ゆっくりしてってくれ。しかし入村タイミングがイケメンすぎるな…,,,,,,,,,,,,,,,,,,,,,
113,113,プロローグ,旅人ニコラス,,,,,,,,,,村人,宿>>108　ひどいのデス！塗り壁に不老不死はいらないのデス！老>>111　なんか死にそうな人が来たのデス！医者を呼ぶのデス！更なるずさーを期待なのデス。野狐のヤコブとか来るといいのデス。,,,,,,,,,,,,,,,,,,,,,
114,114,プロローグ,ならず者ディーター,,,,,,,,,,村人,うぉっと！モーリッツだいじょぶか？なんかめっちゃぷるぷるしてっけど…取り敢えず支えててやっから落ち着け。な？夕飯食ったか？,,,,,,,,,,,,,,,,,,,,,
115,115,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>110ジムゾンは河童だったのか…通りで…いやなんでもないよ？爺ちゃんいらっしゃーい。爺ちゃんはがしゃどくろ？（マテ>>112ってディーター、女には興味ないんじゃ……人魚には興味あるのか。,,,,,,,,,,,,,,,,,,,,,
116,116,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,ようこそモーリッツ、カタリナあたりが傘開いただけで死にそうね。ディーターの対応力は本当にイケメンね、つぶしがきくというやつね。,,,,,,,,,,,,,,,,,,,,,
117,117,プロローグ,神父ジムゾン,,,,,,,,,,人狼,あら、ご長老様こんばんは。勿論歓迎するわよ。旅>>110　あら、アタシは河童じゃないわよ。いつの間にか河童塗りをされていたようね…これはこれは。青>>115　ヨアちゃん、道理で…何かしら？　気になるわね。,,,,,,,,,,,,,,,,,,,,,
118,118,プロローグ,ならず者ディーター,,,,,,,,,,村人,>>115ヨア人魚が女だけだったら子孫繁栄できねーじゃねーか？がしゃどくろってなんだ…ちょっとクララ妖怪百科事典貸してくれ！,,,,,,,,,,,,,,,,,,,,,
119,119,プロローグ,旅人ニコラス,,,,,,,,,,村人,者>>112　人魚は心優しくないのデス。ジブンの姉は、美しい歌声で惹きつけて船を難破させていたのデス。青>>115　残念ながら、ジブンはオスなのデス。メスの人魚に会いたいなら、姉を紹介するのデス！,,,,,,,,,,,,,,,,,,,,,
120,120,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,ワタシもよくこの美貌でオトコたちをナンパしていたわ,,,,,,,,,,,,,,,,,,,,,
121,121,プロローグ,旅人ニコラス,,,,,,,,,,村人,神>>117　ジムゾンは河童ではないのデス？じゃあ、何の妖怪なのデス？,,,,,,,,,,,,,,,,,,,,,
122,122,プロローグ,老人モーリッツ,,,,,,,,,,人狼,ゆ・ゆ・ゆ・夕飯はのー　パスゲッチィーと麺冷を食べたと思ゆあとフルーツケーキうまかったのぉぉぉぉぉぷるぷるぷるぷるぷる,,,,,,,,,,,,,,,,,,,,,
123,123,プロローグ,老人モーリッツ,,,,,,,,,,人狼,え？あ・う？・お・お・神父様はなして。。。なしてその。。。おなごの様な？。。。。かくかくかくかくかくかくかく,,,,,,,,,,,,,,,,,,,,,
